username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;language
;2018-06-19 04:55;0;0;"# FIFA2018 Now that we're speaking about Russia... pic.twitter.com/nZLlg1msUQ";;;#;"1008860912118321152";https://twitter.com/mikabdonor/status/1008860912118321152;en
;2018-06-19 04:48;1;1;"@ AntoGriezmann Renews his contract with @ Atleti till 2023.....follow us for more # England # griezmann # AtleticoMadrid # FIFA # FIFAWorldCup # FIFA2018 # ThreeLions # rusia2018 # Rusia # WC18 # goal # FIFAWorldCup # Blessed # England # ENG # ENGTUN # France # frapic.twitter.com/N6mhnZjm8R";;@ @;# # # # # # # # # # # # # # # # # #;"1008859035951685635";https://twitter.com/FootCasm/status/1008859035951685635;en
;2018-06-19 04:48;0;0;"¿Ya han pensado en la alegría y diversión que nos traían los álbumes del # Mundial cuando éramos niños? Esos son los momentos que queremos recordar y valorar para siempre. # compartimosmundial2018 # fifa2018 # copamundial2018pic.twitter.com/XecuXTVFLv";;;# # # #;"1008858943114924033";https://twitter.com/evospash/status/1008858943114924033;es
;2018-06-19 04:47;0;0;"@ BetOnChart # betonchart # football # soccer # bitcoin # crypto # fifa2018 # fifarussia # WorldCuphttps://twitter.com/betonchart/status/1003567421972795394 …";;@;# # # # # # # #;"1008858655683432448";https://twitter.com/4ng3lito0/status/1008858655683432448;en
;2018-06-19 04:46;0;0;"# bola # jadwal # jadwalbola # pertandingan # jadwalpertandingan # prediksi # prediksibola # prediksiskor # prediksipertandingan # Pialadunia # PialaDunia2018 # FIFAWorldCup # FIFA # FIFAWorldCup2018 # FIFA2018 # JadwalPialaDuniahttp://www.goalgoal365.today/tuntutan-deschamps-kepada-griezmann/ …";;;# # # # # # # # # # # # # # # #;"1008858552029491200";https://twitter.com/JessLyn05830623/status/1008858552029491200;id
;2018-06-19 04:43;0;0;"@ BetOnChart # betonchart # football # soccer # bitcoin # crypto # worldcup # fifa2018 # fifarussiahttps://twitter.com/betonchart/status/1003567421972795394 …";;@;# # # # # # # #;"1008857755745181699";https://twitter.com/4ng3lito0/status/1008857755745181699;en
;2018-06-19 04:43;0;0;"# bola # jadwal # jadwalbola # pertandingan # jadwalpertandingan # prediksi # prediksibola # prediksiskor # prediksipertandingan # Pialadunia # PialaDunia2018 # FIFAWorldCup # FIFA # FIFAWorldCup2018 # FIFA2018 # JadwalPialaDuniahttp://surveybola365.blogspot.com/2018/06/menolak-bertanding-kalinic-langsung-di.html …";;;# # # # # # # # # # # # # # # #;"1008857655903830017";https://twitter.com/WongsoFransisca/status/1008857655903830017;id
;2018-06-19 04:42;0;0;"# bola # jadwal # jadwalbola # pertandingan # jadwalpertandingan # prediksi # prediksibola # prediksiskor # prediksipertandingan # Pialadunia # PialaDunia2018 # FIFAWorldCup # FIFA # FIFAWorldCup2018 # FIFA2018 # JadwalPialaDuniahttp://surveybola365.blogspot.com/2018/06/score-laga-tanding-tunisia-vs-inggris.html …";;;# # # # # # # # # # # # # # # #;"1008857620122234882";https://twitter.com/WongsoFransisca/status/1008857620122234882;id
;2018-06-19 04:42;0;1;"Esse cabelo do # Neymar faria sucesso no circo de Moscou. Isso sim! # circodemoscou # fifa2018 # worldcup2018 # Russia2018";;;# # # # #;"1008857591810752512";https://twitter.com/Georgeaassuncao/status/1008857591810752512;pt
;2018-06-19 04:42;0;0;"# bola # jadwal # jadwalbola # pertandingan # jadwalpertandingan # prediksi # prediksibola # prediksiskor # prediksipertandingan # Pialadunia # PialaDunia2018 # FIFAWorldCup # FIFA # FIFAWorldCup2018 # FIFA2018 # JadwalPialaDuniahttp://surveybola365.blogspot.com/2018/06/prediksi-pertandingan-polandia-vs.html …";;;# # # # # # # # # # # # # # # #;"1008857578854469633";https://twitter.com/WongsoFransisca/status/1008857578854469633;id
;2018-06-19 04:41;0;0;"# HarryKane keeps his head and # England find a ray of sunshine England’s talismanic captain scores at both ends of the pitch, at both ends of the game! https://twitter.com/guardian/status/1008851329874382848?s=21 … # 2018FIFAWorldCup # WorldCupRussia2018 # WorldCup⁠ ⁠ # Russia2018 # FIFA2018 # FIFAWorldCup2018 @ FA # FA";;@;# # # # # # # # #;"1008857185273729024";https://twitter.com/Frederick/status/1008857185273729024;en
;2018-06-19 04:33;0;0;"Awesome! # WorldCup # WorldCup2018 # VivaMexico # FIFA2018 https://twitter.com/abc/status/1008409257493061632 …";;;# # # #;"1008855198792540160";https://twitter.com/KalinKipling/status/1008855198792540160;en
;2018-06-19 04:31;0;5;"are you watching Poland playing tomorrow # fifa2018 Polska Gola!!!";;;#;"1008854677037907973";https://twitter.com/kasia1234/status/1008854677037907973;en
;2018-06-19 04:30;0;0;"¿Ya han pensado en la alegría y diversión que nos traían los álbumes del # Mundial cuando éramos niños? Esos son los momentos que queremos recordar y valorar para siempre. # compartimosmundial2018 # fifa2018 # copamundial2018";;;# # # #;"1008854402264981504";https://twitter.com/evospash/status/1008854402264981504;es
;2018-06-19 04:21;0;1;"# Panini # FIFA2018 # WorldCup # WorldCupStickers Retail Box Learn more >> https://amzn.to/2MCNTq1 pic.twitter.com/9GmfK7JTjG";;;# # # #;"1008852137936412673";https://twitter.com/SportsProducts1/status/1008852137936412673;en
;2018-06-19 04:17;0;0;"follow @ BetOnChart # betonchart # football # soccer # bitcoin # crypto # worldcup # fifa2018 # fifarussiahttps://twitter.com/betonchart/status/1003567421972795394 …";;@;# # # # # # # #;"1008851256629055488";https://twitter.com/tonyui404/status/1008851256629055488;en
;2018-06-19 04:15;0;1;"كل الحيونات تتنبأ بفوز المغرب على البرتغال . # المنتخب_المغربي # FIFA2018";;;# #;"1008850827140886534";https://twitter.com/Saadtaimi3/status/1008850827140886534;ar
